Title,Genre,Duration,Rating,Voting
N/A,Romance,N/A,N/A,N/A
Maple Leaf Dreams,Romance,1h 41m,4.8,138
Future Date,Romance,1h 22m,5.6,133
My Sassy Girl,Romance,1h 57m,5.1,149
Royal Façade,Romance,1h 35m,8.4,60
The Little Things,Romance,1h 30m,7.8,44
A Christmas Dream,Romance,1h 34m,4.9,54
Powder Pup,Romance,1h 29m,6.0,84
Throuple,Romance,1h 32m,6.4,75
The Mediterranean Sea,Romance,1h 48m,7.2,99
N/A,Romance,N/A,N/A,N/A
Boys on Film 24: Happy Endings,Romance,2h 54m,7.0,29
Juni,Romance,2h 18m,7.3,227
Pool & Party,Romance,1h 30m,2.7,270
You Are Not Alone,Romance,1h 45m,6.0,77
My Zombabe,Romance,1h 45m,5.0,94
Die Ironie des Lebens,Romance,1h 49m,6.6,79
Kuch Sapney Apne,Romance,2h,8.1,57
Ben and Suzanne: A Reunion in 4 Parts,Romance,1h 49m,8.5,29
Yesterday Is Almost Here,Romance,1h 32m,8.1,11
Love Stuck,Romance,1h 56m,5.7,165
N/A,Romance,N/A,N/A,N/A
Yumi's Cells: The Movie,Romance,1h 33m,6.3,55
N/A,Romance,N/A,N/A,N/A
Benaam Rishta,Romance,1h 30m,6.9,12
"Goodbye, Farewell",Romance,1h 49m,7.8,14
Mi Ilustrísimo Amigo,Romance,1h 20m,9.8,5
Writing a Love Song,Romance,1h 25m,6.7,195
Election,Romance,2h,5.8,806
Hong lou meng,Romance,2h,5.0,36
Bad Boy in Love,Romance,1h 31m,8.8,22
A Bluegrass Christmas,Romance,1h 24m,6.0,248
"Aire, Just Breathe",Romance,1h 38m,4.7,206
I Am the Secret in Your Heart,Romance,1h 52m,6.1,226
Günesi Söndürmem Gerek,Romance,1h 45m,3.5,212
Our Church Thinks We're Dating,Romance,1h 42m,7.3,62
Your 1/2 of the Rent,Romance,1h 45m,7.2,20
Sihina Nelum Mal,Romance,1h 45m,7.9,37
Mann Behka,Romance,1h 17m,9.4,8
Komandir,Romance,2h 11m,6.3,537
Take Good Care,Romance,1h 41m,5.7,7
Under Parallel Skies,Romance,1h 50m,5.7,861
Poppay Ki Wedding,Romance,2h 7m,8.8,78
Hrashwo Deergha,Romance,2h 30m,7.8,107
N/A,Romance,N/A,N/A,N/A
36-24-36,Romance,1h 58m,6.0,246
Double Blended,Romance,1h 27m,5.4,57
Joy of Horses,Romance,1h 30m,5.5,179
Explosions in My Heart,Romance,1h 45m,6.6,49
"Chances Are, You and I",Romance,2h 12m,6.0,152
Honeymoon Express,Romance,1h 58m,6.8,2.1K
Heart Strings,Romance,1h 47m,5.5,13
Ibiza Dark,Romance,1h 35m,8.5,19
Once Upon A Love Story,Romance,2h 15m,7.5,86
Last Defenders of Monogamy,Romance,1h 24m,5.3,404
N/A,Romance,N/A,N/A,N/A
