Title,Genre,Duration,Rating,Voting
People in the Walls,Horror,1h 33m,3.3,53
Good Neighbours,Horror,1h 24m,3.0,192
Spithood,Horror,58m,5.4,1.1K
Mountain Shark,Horror,1h 21m,3.5,158
Trinil,Horror,1h 45m,4.5,379
Effigy,Horror,1h 18m,2.8,265
Mona: Jinn-2,Horror,2h 4m,4.3,128
Cadi,Horror,2h 14m,6.3,4.4K
Scared Shitless,Horror,1h 16m,6.1,228
Killer Influence,Horror,1h 24m,2.6,332
Shark Island,Horror,1h 21m,3.0,138
Jugaremos en el bosque,Horror,1h 30m,4.9,103
The Backrooms,Horror,1h 3m,8.2,16
Vertical,Horror,1h 51m,5.2,148
Family,Horror,1h 35m,6.8,33
9 Windows,Horror,1h 22m,3.6,329
Thine Ears Shall Bleed,Horror,1h 42m,6.2,1.1K
Kromoleo,Horror,1h 20m,3.9,271
La Patasola,Horror,1h 32m,2.7,99
Solvent,Horror,1h 34m,7.2,459
Geethanjali Malli Vachindi,Horror,2h 24m,4.8,2.2K
Remnant,Horror,1h 52m,2.6,334
Tenants,Horror,1h 34m,4.3,127
Bag of Lies,Horror,1h 36m,3.8,601
The American Backyard,Horror,1h 47m,6.1,210
Hide and Seek,Horror,1h 24m,4.9,162
Camp Blood: Clown Shark,Horror,1h 10m,3.3,96
Deadly Retreat,Horror,46m,4.8,113
Kuang Bao Ju Xi,Horror,1h 15m,5.5,94
N/A,Horror,N/A,N/A,N/A
Ghost Island,Horror,1h 35m,7.1,57
N/A,Horror,N/A,N/A,N/A
The Cellar,Horror,1h 25m,5.8,174
Malice,Horror,1h 34m,2.7,45
SinÉl,Horror,1h 12m,5.5,17
In Search of Darkness 1990-1994: A Journey Into Iconic '90s Horror,Horror,6h 3m,8.0,165
Father's Haunted House,Horror,1h 33m,5.9,360
Z-Mom,Horror,1h 30m,4.9,47
Water Horse,Horror,1h 25m,5.0,262
A Wedding Story,Horror,1h 50m,6.0,2.8K
"Nanay, tatay",Horror,2h,6.9,72
Staycation,Horror,1h 34m,7.2,120
The Blackwell Ghost 8,Horror,1h 9m,6.1,419
The Prodigy,Horror,1h 23m,4.6,38
Temurun,Horror,1h 26m,4.6,360
N/A,Horror,N/A,N/A,N/A
Liu mang qu mo shi,Horror,1h 44m,5.6,56
All That Remains,Horror,1h 10m,6.1,25
Book of the Dead,Horror,1h 30m,5.4,79
Ladybug,Horror,1h 47m,5.5,34
Ship of the Damned,Horror,1h 28m,2.8,311
El instinto,Horror,1h 32m,6.6,123
Purgatory Station,Horror,1h 49m,3.2,59
Death Streamer,Horror,1h 12m,3.0,236
My Redneck Neighbor: Chapter 2 - Let the Games Begin,Horror,55m,5.7,11
Space Sharks,Horror,1h 10m,1.5,332
Silence of the Prey,Horror,1h 37m,3.8,302
